CDM_ID,CREATED,EMERGENCY_REPORTABLE,TCA,MIN_RNG,PC,SAT_1_ID,SAT_1_NAME,SAT1_OBJECT_TYPE,SAT1_RCS,SAT_1_EXCL_VOL,SAT_2_ID,SAT_2_NAME,SAT2_OBJECT_TYPE,SAT2_RCS,SAT_2_EXCL_VOL
"66445351","2020-12-30 00:03:26.000000","Y","2021-01-01T01:26:05.071000","36","0.02673542","16953","SL-8 R/B","ROCKET BODY","LARGE","3.00","8344","SL-8 R/B","ROCKET BODY","LARGE","3.00"
"66445616","2020-12-30 00:04:01.000000","Y","2020-12-31T21:57:05.614000","701","0.0002898546","20670","METEOR 2-19","PAYLOAD","LARGE","5.00","35585","COSMOS 2251 DEB","DEBRIS","SMALL","1.00"
"66446084","2020-12-30 00:03:43.000000","Y","2020-12-31T15:33:20.088000","335","0.0006576185","23464","ASTRID","PAYLOAD","MEDIUM","5.00","38266","YAOGAN 7 DEB","DEBRIS","SMALL","1.00"
"66446110","2020-12-30 00:03:27.000000","Y","2020-12-31T18:22:37.176000","40","0.00210352","23659","SL-14 R/B","ROCKET BODY","LARGE","3.00","31563","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"66446222","2020-12-30 00:03:25.000000","Y","2021-01-01T20:58:35.009000","4","0.0009393167","25344","IRIDIUM 73","PAYLOAD","LARGE","5.00","29756","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"66446688","2020-12-30 01:17:10.000000","Y","2020-12-31T19:47:32.560000","4714","","27662","ARIANE 44LP DEB","DEBRIS","MEDIUM","0.00","43826","ARIANE 5 DEB (SYLDA)","DEBRIS","LARGE","0.00"
"66446794","2020-12-30 00:03:29.000000","Y","2021-01-01T22:04:18.640000","71","0.003710428","28057","CBERS 2","PAYLOAD","LARGE","5.00","39670","COSMOS 1867 COOLANT","DEBRIS","SMALL","1.00"
"66447239","2020-12-30 00:03:26.000000","Y","2021-01-01T20:58:35.009000","4","0.0009393167","29756","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","25344","IRIDIUM 73","PAYLOAD","LARGE","5.00"
"66447296","2020-12-30 00:03:27.000000","Y","2020-12-31T18:22:37.176000","40","0.00210352","31563","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","23659","SL-14 R/B","ROCKET BODY","LARGE","3.00"
"66448835","2020-12-30 00:03:29.000000","Y","2021-01-01T22:04:18.640000","71","0.003710428","39670","COSMOS 1867 COOLANT","DEBRIS","SMALL","1.00","28057","CBERS 2","PAYLOAD","LARGE","5.00"
"66450994","2020-12-30 01:17:10.000000","Y","2020-12-31T19:47:32.560000","4714","","43826","ARIANE 5 DEB (SYLDA)","DEBRIS","LARGE","0.00","27662","ARIANE 44LP DEB","DEBRIS","MEDIUM","0.00"
"66508376","2020-12-30 09:59:13.000000","Y","2021-01-01T01:26:05.067000","26","0.02963887","8344","SL-8 R/B","ROCKET BODY","LARGE","3.00","16953","SL-8 R/B","ROCKET BODY","LARGE","3.00"
"66508522","2020-12-30 09:59:13.000000","Y","2021-01-01T01:26:05.067000","26","0.02963887","16953","SL-8 R/B","ROCKET BODY","LARGE","3.00","8344","SL-8 R/B","ROCKET BODY","LARGE","3.00"
"66508645","2020-12-30 09:59:33.000000","Y","2020-12-31T21:57:05.616000","633","0.0003838218","20670","METEOR 2-19","PAYLOAD","LARGE","5.00","35585","COSMOS 2251 DEB","DEBRIS","SMALL","1.00"
"66508687","2020-12-30 09:59:19.000000","Y","2020-12-31T15:33:20.075000","220","0.0001829494","23464","ASTRID","PAYLOAD","MEDIUM","5.00","38266","YAOGAN 7 DEB","DEBRIS","SMALL","1.00"
"66508704","2020-12-30 09:59:12.000000","Y","2020-12-31T18:22:37.156000","18","0.02323661","23659","SL-14 R/B","ROCKET BODY","LARGE","3.00","31563","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"66508723","2020-12-30 09:59:14.000000","Y","2021-01-02T04:50:42.646000","63","0.0008939105","24953","COSMOS 2346","PAYLOAD","LARGE","5.00","26503","COSMOS 1249 COOLANT","DEBRIS","SMALL","1.00"
"66508727","2020-12-30 09:59:28.000000","Y","2021-01-02T07:36:15.317000","438","0.0001308089","25078","IRIDIUM 44","PAYLOAD","LARGE","5.00","22493","SL-16 DEB","DEBRIS","SMALL","1.00"
"66508748","2020-12-30 09:59:18.000000","Y","2021-01-01T20:58:34.991000","130","0.001130676","25344","IRIDIUM 73","PAYLOAD","LARGE","5.00","29756","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"66508846","2020-12-30 09:59:14.000000","Y","2021-01-02T04:50:42.646000","63","0.0008939105","26503","COSMOS 1249 COOLANT","DEBRIS","SMALL","1.00","24953","COSMOS 2346","PAYLOAD","LARGE","5.00"
"66508988","2020-12-30 09:59:13.000000","Y","2021-01-01T22:04:18.632000","37","0.005334273","28057","CBERS 2","PAYLOAD","LARGE","5.00","39670","COSMOS 1867 COOLANT","DEBRIS","SMALL","1.00"
"66509019","2020-12-30 09:59:13.000000","Y","2021-01-01T21:07:07.362000","39","0.0008361804","28389","METEOR 2-7 DEB","DEBRIS","SMALL","1.00","40481","DMSP 5D-2 F13 DEB","DEBRIS","SMALL","1.00"
